person,fridge,fridge_total,dishwasher,dishwaster_total,washing_machine,washing_machine_total,electric_stove,electric_stove_total,clothes_dryer,clothes_dryer_total,tv,tv_total,microwave,microwave_total,kettle,kettle_total,coffee_machine,coffee_machine_total,lamps,lamps_total,electric_car,total_kw,occupancy,hours_heating_on,night_saver_meter,energy_rate,price_category
1,1,1,1,2,1,1,0,0,1,3,2,2,1,1,1,5,1,1,1,1,0,12,4,9,y,0.37,2
2,1,1,1,2,1,1,1,3,0,0,2,2,0,0,1,5,0,0,2,2,0,11,2,6,n,0.77,3
3,1,1,0,0,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,14,2,6,y,0.77,3
4,1,1,1,2,1,1,1,3,1,3,1,1,1,1,1,5,0,0,3,3,10,25,3,6,n,0.37,3
5,1,1,1,2,1,1,1,3,0,0,2,2,1,1,0,0,0,0,4,4,10,24,2,6,n,0.62,3
6,1,1,1,2,1,1,0,0,1,3,3,3,1,1,1,5,1,1,3,3,0,15,2,9,y,0.77,3
7,1,1,1,2,0,0,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,15,3,9,y,0.62,3
8,1,1,1,2,1,1,1,3,0,0,2,2,1,1,1,5,0,0,3,3,0,13,2,6,y,0.37,2
9,1,1,0,0,1,1,1,3,0,0,2,2,1,1,1,5,0,0,3,3,10,21,3,6,n,0.62,4
10,1,1,1,2,0,0,1,3,1,3,2,2,0,0,1,5,0,0,4,4,10,25,2,6,y,0.62,4
11,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,2,2,0,15,2,6,y,0.77,3
12,0,0,1,2,1,1,1,3,0,0,2,2,1,1,1,5,0,0,3,3,0,12,1,9,n,0.37,2
13,1,1,0,0,1,1,0,0,1,3,2,2,1,1,1,5,1,1,3,3,0,12,2,3,n,0.62,2
14,1,1,1,2,1,1,1,3,0,0,1,1,0,0,1,5,1,1,3,3,0,12,4,6,y,0.77,3
15,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,2,3,y,0.62,3
16,1,1,0,0,1,1,0,0,0,0,3,3,1,1,0,0,0,0,1,1,0,7,2,6,n,0.77,2
17,2,2,0,0,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,15,2,6,y,0.37,2
18,1,1,1,2,2,2,1,3,1,3,2,2,0,0,1,5,0,0,3,3,0,16,5,6,n,0.77,3
19,1,1,1,2,0,0,1,3,1,3,1,1,1,1,0,0,0,0,3,3,0,14,2,6,n,0.37,1
20,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,1,1,3,3,0,17,2,9,n,0.62,3
21,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,3,6,n,0.62,3
22,1,1,1,2,2,2,1,3,1,3,1,1,0,0,1,5,0,0,3,3,0,15,5,9,n,0.77,3
23,1,1,0,0,1,1,1,3,0,0,4,4,1,1,1,5,0,0,2,2,0,12,3,6,n,0.62,2
24,1,1,1,2,1,1,0,0,0,0,3,3,0,0,1,5,1,1,3,3,0,11,2,6,y,0.62,2
25,2,2,1,2,1,1,0,0,1,3,2,2,1,1,1,5,0,0,3,3,0,14,3,3,n,0.77,3
26,1,1,1,2,1,1,0,0,1,3,2,2,1,1,2,10,1,1,4,4,0,15,2,6,y,0.62,3
27,1,1,1,2,1,1,0,0,1,3,2,2,1,1,1,5,0,0,4,4,10,24,2,6,n,0.62,4
28,1,1,1,2,1,1,1,3,0,0,0,0,1,1,1,5,0,0,3,3,0,11,5,6,y,0.77,3
29,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,2,12,n,0.62,3
30,1,1,1,2,0,0,0,0,1,3,2,2,1,1,1,5,0,0,3,3,0,12,2,6,y,0.62,2
31,1,1,1,2,1,1,0,0,1,3,2,2,1,1,1,5,1,1,3,3,0,14,2,6,n,0.77,3
32,1,1,0,0,1,1,0,0,1,3,2,2,1,1,1,5,0,0,4,4,0,12,2,6,y,0.62,2
33,1,1,1,2,1,1,1,3,0,0,2,2,1,1,1,5,0,0,3,3,0,13,1,12,n,0.62,2
34,1,1,0,0,1,1,1,3,1,3,2,2,0,0,1,5,0,0,2,2,0,12,2,0,y,0.77,3
35,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,5,6,n,0.62,3
36,1,1,1,2,1,1,0,0,1,3,1,1,1,1,1,5,1,1,3,3,0,13,2,6,n,0.77,3
37,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,2,3,y,0.62,3
38,1,1,1,2,2,2,0,0,1,3,1,1,1,1,1,5,1,1,3,3,0,14,3,6,n,0.77,3
39,0,0,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,15,3,6,y,0.62,3
40,1,1,0,0,1,1,0,0,1,3,2,2,1,1,1,5,0,0,0,0,0,8,2,0,n,0.62,2
41,1,1,1,2,1,1,1,3,1,3,4,4,1,1,1,5,0,0,3,3,0,18,2,0,y,0.77,4
42,1,1,1,2,1,1,1,3,0,0,2,2,1,1,1,5,0,0,1,1,0,11,2,6,n,0.77,3
43,1,1,0,0,1,1,1,3,1,3,2,2,1,1,1,5,1,1,3,3,10,25,2,3,y,0.62,4
44,1,1,1,2,1,1,0,0,1,3,2,2,1,1,1,5,0,0,3,3,0,13,5,6,n,0.62,2
45,1,1,0,0,0,0,1,3,1,3,2,2,1,1,0,0,0,0,3,3,0,13,3,6,y,0.77,2
46,1,1,1,2,1,1,1,3,1,3,3,3,0,0,1,5,0,0,3,3,0,16,2,12,y,0.77,3
47,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,2,6,n,0.62,3
48,1,1,1,2,1,1,0,0,2,6,2,2,1,1,1,5,1,1,2,2,10,26,2,6,n,0.62,5
49,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,4,4,0,17,2,9,n,0.62,3
50,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,2,6,n,0.77,3
51,1,1,1,2,1,1,1,3,1,3,0,0,1,1,1,5,0,0,3,3,0,14,3,9,y,0.77,3
52,2,2,1,2,1,1,0,0,1,3,2,2,1,1,1,5,1,1,3,3,0,15,2,12,n,0.62,3
53,1,1,1,2,0,0,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,15,2,6,y,0.62,3
54,1,1,1,2,1,1,1,3,1,3,1,1,0,0,1,5,0,0,3,3,10,24,3,3,y,0.77,5
55,0,0,1,2,1,1,0,0,1,3,2,2,1,1,1,5,0,0,4,4,0,13,2,6,y,0.62,2
56,1,1,0,0,1,1,1,3,0,0,2,2,1,1,1,5,1,1,3,3,0,12,2,6,y,0.12,1
57,1,1,1,2,1,1,0,0,1,3,2,2,1,1,1,5,0,0,3,3,10,23,3,6,y,0.62,4
58,1,1,1,2,1,1,1,3,1,3,2,2,1,1,0,0,1,1,3,3,10,27,2,9,n,0.62,4
59,1,1,1,2,0,0,1,3,1,3,3,3,1,1,1,5,0,0,1,1,0,14,2,6,n,0.37,2
60,1,1,1,2,1,1,1,3,1,3,2,2,1,1,1,5,0,0,3,3,0,16,3,9,n,0.62,3
61,1,1,1,2,1,1,1,3,1,3,2,2,0,0,1,5,0,0,3,3,0,15,2,6,y,0.62,3
62,2,2,1,2,1,1,0,0,1,3,2,2,1,1,1,5,0,0,3,3,0,14,2,6,y,0.62,3
63,1,1,1,2,1,1,1,3,0,0,2,2,1,1,1,5,1,1,2,2,10,23,3,12,n,0.77,5
